business,city,industry,stage,why_it_matches,why_now,evidence_summary,estimated_opening_window,official_public_contact_route,source_provenance
"Granite State Poker Alliance, LLC",Manchester,entertainment,PLANNING,service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.","New 73,240 sq ft charitable gaming facility with corroborating zoning/sign activity.",,,https://www.manchesternh.gov/Portals/2/Departments/pcd/BoardsCommissions/PlanningBoard/Agendas2/2026-07-16_PB_AGENDA_REV_7.14.26.PDF; https://www.manchesternh.gov/Portals/2/Departments/pcd/BoardsCommissions/ZBA/Agendas/2026-04-09_ZBA_AGENDA.PDF; https://www.manchesternh.gov/Portals/2/Departments/pcd/BoardsCommissions/ZBA/Agendas/2026-06-11_ZBA_AGENDA.PDF
"Aranosian Oil Company, Inc",Manchester,restaurant,PLANNING,target industry; service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.","New fueling station, convenience store, and drive-through restaurant supported by planning and zoning.",,,https://www.manchesternh.gov/Portals/2/Departments/pcd/BoardsCommissions/PlanningBoard/Agendas2/2026-07-16_PB_AGENDA_REV_7.14.26.PDF; https://www.manchesternh.gov/Portals/2/Departments/pcd/BoardsCommissions/ZBA/Agendas/2026-04-09_ZBA_AGENDA.PDF
Brook Hollow Corporation,Manchester,other,PLANNING,service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.",Current extension for an approved new car-wash facility.,,,https://www.manchesternh.gov/Portals/2/Departments/pcd/BoardsCommissions/PlanningBoard/Agendas2/2026-08-20_PB_AGENDA.PDF
"Greywacke, LLC",Manchester,professional office,PLANNING,service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.",Commercial change of use to landscape contractor office with two official source classes.,,,https://www.manchesternh.gov/Portals/2/Departments/pcd/BoardsCommissions/PlanningBoard/Agendas2/2026-07-16_PB_AGENDA_REV_7.14.26.PDF; https://www.manchesternh.gov/Portals/2/Departments/pcd/BoardsCommissions/ZBA/Agendas/2026-05-14_ZBA_AGENDA_REVISED.PDF
Griffin Road Realty LLC,Portsmouth,warehouse/logistics,PLANNING,service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.","New commercial loading dock, security fencing/gates, and site work.",,,https://files.portsmouthnh.gov/agendas/2026/Planning+Board/7-16-2026+Meeting/7-16-2026+PB+AS_rev.pdf
Double MC LLC,Portsmouth,other,PLANNING,service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.",Site redevelopment explicitly includes expanded/new commercial space.,,,https://files.portsmouthnh.gov/agendas/2026/Planning+Board/3-26-2026+Meeting/3-26-2026_pb_as.pdf
304 Maplewood LLC,Portsmouth,professional office,PLANNING,service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.","Current 1,011 sq ft addition to a commercial office building.",,,https://files.portsmouthnh.gov/agendas/2026/Planning+Board/5-21-2026+Meeting/5-21-2026_pb_as_revised.pdf
"Bluebird Salem, LLC",Salem,warehouse/logistics,LOCATION_CONFIRMED,service city; relevant services: internet,The location is known while vendors can still influence buildout choices.,Large new self-storage facility with current sign/site activity.,,,https://www.salemnh.gov/AgendaCenter/ViewFile/Agenda/_08252026-1774?packet=true
Wonder,Salem,restaurant,LOCATION_CONFIRMED,target industry; service city; relevant services: internet,The location is known while vendors can still influence buildout choices.,Wonder has an exact site and current municipal sign/site-plan evidence.,,,https://www.salemnh.gov/AgendaCenter/ViewFile/Agenda/_07282026-1762?packet=true
"Twenty-One Keewaydin Drive, LLC",Salem,professional office,PLANNING,service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.","Building under construction is changing to a 33,894 sq ft adult-education facility.",,,https://www.salemnh.gov/AgendaCenter/ViewFile/Agenda/_07142026-1752?packet=true
"Singh Realty, LLC",Salem,other,PLANNING,service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.","New 22,736 sq ft 14-unit contractor building at an exact commercial site.",,,https://www.salemnh.gov/AgendaCenter/ViewFile/Agenda/_07142026-1752?packet=true
"Net Lease Realty, Inc",Bedford,restaurant,PLANNING,target industry; service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.",Gas-station addition and conversion of service bays to convenience retail.,,,https://www.bedfordnh.org/AgendaCenter/ViewFile/Agenda/_04202026-2936
"Bellazardan, LLC",Bedford,warehouse/logistics,PLANNING,service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.","Current extension for approved 14,097 sq ft light-industrial project.",,,https://www.bedfordnh.org/AgendaCenter/ViewFile/Agenda/_02232026-2917
"SRR Bedford NH Ventures, LLC",Bedford,restaurant,STALE,target industry; service city; relevant services: internet,The useful pre-opening sales window has passed or the project is inactive.,"New gas station, convenience store, and drive-through fast-food project.",,,https://www.bedfordnh.org/AgendaCenter/ViewFile/Agenda/_01122026-2896
Bedford RLG Properties LLC,Bedford,other,STALE,service city; relevant services: internet,The useful pre-opening sales window has passed or the project is inactive.,"Current 150,000 sq ft commercial warehouse/manufacturing proposal.",,,https://www.bedfordnh.org/AgendaCenter/ViewFile/Agenda/_01122026-2896
"265 SRR, LLC & Rockfish REI, LLC",Bedford,professional office,PLANNING,service city; relevant services: internet,"Planning evidence is early, but tenant identity or project timing may change.","New 19,270 sq ft professional and medical office project with exact site.",,,https://www.bedfordnh.org/AgendaCenter/ViewFile/Agenda/_02232026-2917
