organization,brand,city,address,industry,stage,opportunity_type,score,stage_confidence,signal_count,first_detected_at,first_actionable_at,last_signal_at,estimated_open_window,review_status,review_note,source_count,vendor_needs
"Granite State Poker Alliance, LLC","Granite State Poker Alliance, LLC",Manchester,1279 South Willow Street,entertainment,PLANNING,major_renovation,69.0,0.76,3,2026-08-19 15:02:16.704211,,2026-08-19 15:21:17.786734,,actionable,"New 73,240 sq ft charitable gaming facility with corroborating zoning/sign activity.",2,commercial_cleaning;commercial_insurance;internet
"Aranosian Oil Company, Inc","Aranosian Oil Company, Inc",Manchester,1265 South Willow Street,restaurant,PLANNING,major_renovation,69.0,0.76,2,2026-08-19 15:02:16.723797,,2026-08-19 15:19:28.171836,,actionable,"New fueling station, convenience store, and drive-through restaurant supported by planning and zoning.",2,commercial_cleaning;commercial_insurance;internet
Brook Hollow Corporation,Brook Hollow Corporation,Manchester,275 Hooksett Road,other,PLANNING,major_renovation,67.1,0.72,1,2026-08-19 15:02:16.730260,,2026-08-19 15:02:16.730260,,actionable,Current extension for an approved new car-wash facility.,1,commercial_cleaning;commercial_insurance;internet
"25 Lowell Street, LLC","25 Lowell Street, LLC",Manchester,25 Lowell Street,retail,PLANNING,major_renovation,70.7,0.76,2,2026-08-19 15:02:16.737828,,2026-08-19 15:19:28.141873,,not_actionable,Parking-lot amendment for an existing mixed-use property; no new operating business.,2,commercial_cleaning;commercial_insurance;internet
"Greywacke, LLC","Greywacke, LLC",Manchester,231 Woodland Avenue,professional office,PLANNING,major_renovation,69.0,0.76,2,2026-08-19 15:02:16.744329,,2026-08-19 15:19:28.149792,,actionable,Commercial change of use to landscape contractor office with two official source classes.,2,commercial_cleaning;commercial_insurance;internet
"DEV, LLC","DEV, LLC",Manchester,1308 Elm Street,retail,PLANNING,major_renovation,67.1,0.72,1,2026-08-19 15:02:16.749646,,2026-08-19 15:02:16.749646,,uncertain,"Large mixed-use redevelopment is real, but no commercial tenant/operator is identified.",1,commercial_cleaning;commercial_insurance;internet
Griffin Road Realty LLC,Griffin Road Realty LLC,Portsmouth,218 Griffin Rd,warehouse/logistics,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.505301,2026-08-19 15:16:52.505301,2026-08-19 15:16:52.505301,,actionable,"New commercial loading dock, security fencing/gates, and site work.",1,commercial_cleaning;commercial_insurance;internet
Banfield Realty LLC,Banfield Realty LLC,Portsmouth,375 Banfield Road,warehouse/logistics,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.512893,2026-08-19 15:16:52.512893,2026-08-19 15:16:52.512893,,uncertain,Rezoning from industrial to mixed use is too early and lacks an operating business.,1,commercial_cleaning;commercial_insurance;internet
Liberty Mutual Insurance Company,Liberty Mutual Insurance Company,Portsmouth,0 Borthwick Avenue,professional office,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.521214,2026-08-19 15:16:52.521214,2026-08-19 15:16:52.521214,,not_actionable,Routine stormwater maintenance at an established corporate property.,1,commercial_cleaning;commercial_insurance;internet
Brora LLC,Brora LLC,Portsmouth,150 Portsmouth Boulevard,professional office,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.528016,2026-08-19 15:16:52.528016,2026-08-19 15:16:52.528016,,false_positive,Large multifamily residential project; Office Research zoning caused classification noise.,1,commercial_cleaning;commercial_insurance;internet
The Ci ty of Portsmouth/New Franklin School,The Ci ty of Portsmouth/New Franklin School,Portsmouth,1 Franklin Drive,other,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.536316,2026-08-19 15:16:52.536316,2026-08-19 15:16:52.536316,,not_actionable,Municipal elementary-school addition is outside the commercial prospect thesis.,1,commercial_cleaning;commercial_insurance;internet
The City of Portsmouth/New Franklin School,The City of Portsmouth/New Franklin School,Portsmouth,1 Franklin Drive,other,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.543276,2026-08-19 15:16:52.543276,2026-08-19 15:16:52.543276,,duplicate,Duplicate name variant for the same New Franklin School project.,1,commercial_cleaning;commercial_insurance;internet
Jeannette McDonald,Jeannette McDonald,Portsmouth,86 Farm Lane,professional office,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.550114,2026-08-19 15:16:52.550114,2026-08-19 15:16:52.550114,,false_positive,Residential subdivision with no commercial operating event.,1,commercial_cleaning;commercial_insurance;internet
Double MC LLC,Double MC LLC,Portsmouth,134 Pleasant Street,other,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.557877,2026-08-19 15:16:52.557877,2026-08-19 15:16:52.557877,,actionable,Site redevelopment explicitly includes expanded/new commercial space.,1,commercial_cleaning;commercial_insurance;internet
Regan Electric CO INC,Regan Electric CO INC,Portsmouth,94 Langdon Street and 98 Cornwall Street,other,PLANNING,major_renovation,64.1,0.72,1,2026-08-19 15:16:52.565636,2026-08-19 15:16:52.565636,2026-08-19 15:16:52.565636,,false_positive,Three single-family dwellings; owner name looked commercial but project is residential.,1,commercial_cleaning;commercial_insurance;internet
