opportunity_id,verdict,note
3792ab6b-70c7-441a-bfdb-7c295b5d27e9,actionable,"New 19,270 sq ft professional and medical office project with exact site."
79a2be3a-4717-4246-b6c3-73f1255d8779,actionable,"Current 150,000 sq ft commercial warehouse/manufacturing proposal."
8614fa76-4f8f-4b5c-b6cb-e60f48abdce8,actionable,"Current extension for approved 14,097 sq ft light-industrial project."
df121c32-9b14-43c8-8cfe-6dd8c3a21d89,actionable,"Gas-station addition and conversion of service bays to convenience retail."
edb4d0ef-3f82-4b12-83eb-cff01327482d,actionable,"New gas station, convenience store, and drive-through fast-food project."
3c2c6254-5517-4189-86d0-efab255b55ea,not_actionable,"Official newsletter detected the restaurant only at soft opening; sales window is too late."
8a544ced-ccc2-4cdd-809a-efff2ea87326,not_actionable,"Newsletter reported relocation after the new space had already been transformed."
f1b70667-2950-46c0-b22a-1d2ca80c09d1,not_actionable,"Parking-lot amendment for an existing mixed-use property; no new operating business."
4313eb2d-d944-43c5-afa8-a42d48b264ab,actionable,"New fueling station, convenience store, and drive-through restaurant supported by planning and zoning."
15ba66b3-8448-496d-893a-bac776b28e40,actionable,"Current extension for an approved new car-wash facility."
b6403f67-973a-41a7-948c-6c080e1cce05,uncertain,"Large mixed-use redevelopment is real, but no commercial tenant/operator is identified."
efc1a877-b0a3-4b31-b89e-3321ce736221,actionable,"New 73,240 sq ft charitable gaming facility with corroborating zoning/sign activity."
a845530a-b449-471e-b317-fe466022801e,actionable,"Commercial change of use to landscape contractor office with two official source classes."
817d5f82-b134-4c21-90bc-b0afb3180784,uncertain,"New vehicle-sales use is plausible but operator identity is unresolved."
97a5f5e7-1789-4da0-b582-2a745489aafa,not_actionable,"Accessory outdoor storage for an existing neighboring auto-repair use."
ae2b1720-476e-45e6-83b8-57fa566fcecb,false_positive,"Residential-unit conversion was admitted by broad commercial-keyword filtering."
d0804ded-47d8-471a-8e98-b297f28cdd42,false_positive,"Commercial space is being converted to residential units, not a B2B opening."
d6418678-6998-41ab-b64b-0ac58d2b24dc,uncertain,"Beauty-salon expansion is current but the operating identity is unresolved."
2dacb53e-b055-4657-8816-b2e56ca01915,uncertain,"Contractor-office establishment is current but the operator is unresolved."
0f2420bc-f226-4c1e-829f-71d41e49c489,uncertain,"New beauty-salon use has an exact site but no resolved operating business."
936df99f-8f95-4346-8499-cc747fa0ee70,stale,"January 2025 nicotine-retail application has no current corroboration."
1e4c8077-6980-4d04-8514-5780a9802312,stale,"February 2025 nicotine-retail application has no current corroboration."
d3d6c062-2bbc-4c08-9641-566922b06941,false_positive,"Residential multifamily development was admitted by equipment-storage wording."
4d8637c3-1d41-4959-b096-a79064e4e2f6,false_positive,"Four standalone residential condominiums; no commercial opening."
884af2ef-bcba-404f-b12b-afdd49396188,actionable,"Current 1,011 sq ft addition to a commercial office building."
92748d2f-29be-4eb6-8368-4751ec3fa013,uncertain,"Rezoning from industrial to mixed use is too early and lacks an operating business."
728e48ae-201d-4f01-afb1-9b953b1055bd,false_positive,"Large multifamily residential project; Office Research zoning caused classification noise."
fb6f9a47-7d4f-4560-95fe-102c84837768,actionable,"Site redevelopment explicitly includes expanded/new commercial space."
9ad4b7e5-ca42-4752-b90b-e255a370c6f9,actionable,"New commercial loading dock, security fencing/gates, and site work."
903d7a72-2d6c-40d7-84b5-883990847057,false_positive,"Residential subdivision with no commercial operating event."
009f74a1-1600-4ef1-85f9-c382f90f7965,false_positive,"Residential subdivision with no commercial operating event."
237fbed7-f85f-4fc0-82a3-43c0041d3aa0,not_actionable,"Routine stormwater maintenance at an established corporate property."
23305fc9-924c-4edb-94a2-56b5d3ffad47,duplicate,"Duplicate representation of the South Street subdivision."
98a1db83-52c6-4f6d-ac30-26fc1fdb55aa,false_positive,"Three single-family dwellings; owner name looked commercial but project is residential."
3c3f9a62-c199-4a64-abf6-fc1e068e37d8,duplicate,"Duplicate legal-name variant for the 1151 Sagamore residential project."
418ed933-1768-4482-9ea3-e06affd2f5e0,not_actionable,"Nonprofit shoreline-trail repair is not a new commercial customer event."
67af22ae-75b3-448d-8600-e7b1ba96c476,not_actionable,"Municipal elementary-school addition is outside the commercial prospect thesis."
af6ef455-81b3-4fc8-831d-44ca70f4d4b7,not_actionable,"Municipal playground accessibility project is outside the commercial prospect thesis."
9eda61c7-59b0-4f7d-acdf-f10e15cefb97,duplicate,"Duplicate name variant for the same New Franklin School project."
d2cf1c13-18cd-4e45-9ad1-0ea47d766a6d,actionable,"Large new self-storage facility with current sign/site activity."
cba00a2a-eaea-4a51-9de4-6d30fd414cbf,not_actionable,"Sign activity for an already approved/existing office building."
ca9913f4-af7a-4137-a43b-399c7f3548c1,false_positive,"Office units are being converted to residential apartments."
86b7b59a-0836-4791-adcd-e2f5bd297084,actionable,"New 22,736 sq ft 14-unit contractor building at an exact commercial site."
e504d042-ab03-4648-9193-6626caf82beb,actionable,"Building under construction is changing to a 33,894 sq ft adult-education facility."
601a2fc1-c764-4b7d-a9e6-2b115760a40d,actionable,"Wonder has an exact site and current municipal sign/site-plan evidence."
