opportunity_id,operator_name,operator_legal_name,operating_brand,operator_status,operator_confidence,operator_evidence,chain_classification,contact_type_1,contact_value_1,contact_label_1,contact_source_url_1,contact_source_name_1,contact_source_type_1,contact_confidence_1,contact_match_reason_1,contact_type_2,contact_value_2,contact_label_2,contact_source_url_2,contact_source_name_2,contact_source_type_2,contact_confidence_2,contact_match_reason_2
3792ab6b-70c7-441a-bfdb-7c295b5d27e9,,,,DEVELOPER_ONLY,0.95,"Official Bedford filing identifies owners/developers but no tenant",UNKNOWN,,,,,,,,,,,,,,,,
79a2be3a-4717-4246-b6c3-73f1255d8779,,,,PROPERTY_OWNER_ONLY,0.98,"Official Bedford filing calls the proposed use speculative",UNKNOWN,,,,,,,,,,,,,,,,
8614fa76-4f8f-4b5c-b6cb-e60f48abdce8,,,,DEVELOPER_ONLY,0.85,"Owner/applicant manages the flex-industrial site; end tenant is not identified",INDEPENDENT_LOCAL,,,,,,,,,,,,,,,,
df121c32-9b14-43c8-8cfe-6dd8c3a21d89,RPM Fuels LLC,RPM Fuels LLC,RPM Fuels,KNOWN,0.98,"Official Bedford filing identifies RPM Fuels as applicant at 137 Route 101",INDEPENDENT_LOCAL,website,https://www.rpmfuels101.com,Official website with phone and email inquiry route,https://www.rpmfuels101.com/location,RPM Fuels official location page,official_company,0.98,"same operator and same address on official location page",phone,(603) 472-2763,Official business phone,https://www.rpmfuels101.com/location,RPM Fuels official location page,official_company,0.98,"same operator and same address on official location page"
edb4d0ef-3f82-4b12-83eb-cff01327482d,,,,PROPERTY_OWNER_ONLY,0.9,"Official filing identifies project owner but no fuel or restaurant operator",UNKNOWN,,,,,,,,,,,,,,,,
4313eb2d-d944-43c5-afa8-a42d48b264ab,Aranco Oil Company,Aranosian Oil Company Inc,Aranco Oil Company,KNOWN,0.95,"Federal FMCSA registry confirms legal and DBA names; municipal filing is for the same company",INDEPENDENT_LOCAL,phone,(603) 224-7500,Official public business phone,https://safer.fmcsa.dot.gov/query.asp?query_param=USDOT&query_string=86218&query_type=queryCarrierSnapshot&searchtype=ANY,FMCSA SAFER carrier snapshot,official_federal_registry,0.95,"same operator legal name and DBA in official federal registry",,,,,,,
15ba66b3-8448-496d-893a-bac776b28e40,,,,PROPERTY_OWNER_ONLY,0.9,"Car-wash project is verified but no operating brand is identified",UNKNOWN,,,,,,,,,,,,,,,,
efc1a877-b0a3-4b31-b89e-3321ce736221,Revo Casino and Social House,Granite State Poker Alliance LLC,Revo Casino,KNOWN,0.98,"Official NH Lottery location list confirms the Revo brand at 1279 South Willow",CHAIN_FRANCHISE,website,https://revocasino.com,Official operator website with location links,https://revocasino.com/about/,Revo Casino official website,official_company,0.95,"same brand and official location for Manchester",phone,(603) 935-9947,Official public location phone,https://nhlottery.com/Sports/DraftKings-Sportsbook-Locations,New Hampshire Lottery location directory,official_public_directory,0.98,"same brand and same address in official state directory"
a845530a-b449-471e-b317-fe466022801e,,,,KNOWN,0.9,"Official filing identifies Greywacke as landscape-contractor office operator",INDEPENDENT_LOCAL,,,,,,,,,,,,,,,,
884af2ef-bcba-404f-b12b-afdd49396188,,,,PROPERTY_OWNER_ONLY,0.98,"Official Portsmouth minutes state the prior Planet Fitness reference is no longer valid",UNKNOWN,,,,,,,,,,,,,,,,
