opportunity_id,verdict,note
34c98902-8899-43ce-a952-6ebe9feccfe1,false_positive,"Residential manufactured-home certificate admitted by the initial occupancy keyword rule."
021d1468-6a34-4e00-b1d0-c50fc87286b2,stale,"Real Perfumania tenant alteration in September 2025; historical and no longer an early sales window."
b688add5-2989-4d38-b77d-757a17177da7,stale,"Real Go Games relocation within the mall; historical and no longer early."
c274817f-6ff4-4731-af7d-9b817a3b077c,stale,"Real G&D Custom retail occupancy event; historical and no longer early."
53211950-b36c-4931-9bb1-ab37acd01e9f,stale,"Real Salt & Straw occupancy event; historical and retrieved too late for outreach."
0c6d7627-a2d6-4cf6-b907-fdfc0bad8523,stale,"Real Casino Salem occupancy event; certificate of occupancy is a late-stage historical signal."
fd8105fe-c067-4f15-b1e6-4583821fd6d6,stale,"Real Dairy Queen occupancy event; historical and no longer early."
74a6958b-a572-4ac0-bc35-15110e78f3c2,stale,"Real Designer Perfume relocation/occupancy with two permit signals; historical."
3b4c7f4e-1246-44b0-ba6b-798e15311b4e,stale,"Real Five Below occupancy event; historical and no longer early."
0449403e-542c-482a-bf71-2609e789783b,stale,"Real Lululemon tenant fit-out; potentially valuable in real time but stale at backfill."
ce7c9566-44a2-40cb-8541-a74305f6cd89,false_positive,"Residential replacement mobile home admitted by certificate-of-occupancy keyword."
964f216b-8d3b-4fff-843e-0f782927114d,stale,"Real Sal's Pizza occupancy event; historical and no longer early."
3f38a614-a445-410f-bc80-881e6a8ea187,false_positive,"Temporary seasonal Spirit Halloween store is not a recurring new-business opportunity."
dc30e44a-d130-4c8a-aa1a-915e75a83281,false_positive,"Residential ADU certificate admitted by the initial occupancy keyword rule."
60a98f28-3b18-4a82-bc6e-de4368f3e0d0,false_positive,"Residential replacement home certificate admitted by the initial occupancy keyword rule."
074fa3c6-2e77-4b66-99c1-d91e38aff7e2,stale,"Real Caffe Nero tenant fit-out; potentially valuable in real time but stale at backfill."
