opportunity_id,operator_name,operator_legal_name,operating_brand,operator_status,operator_confidence,operator_confidence_category,operator_evidence,operator_resolution_reason,chain_classification,contact_organization_name,contact_organization_type,contact_organization_role,contact_organization_confidence,contact_organization_evidence,contact_type_1,contact_value_1,contact_label_1,contact_source_url_1,contact_source_name_1,contact_source_type_1,contact_confidence_1,contact_match_reason_1,contact_utility_class_1,contact_relationship_1,contact_type_2,contact_value_2,contact_label_2,contact_source_url_2,contact_source_name_2,contact_source_type_2,contact_confidence_2,contact_match_reason_2,contact_utility_class_2,contact_relationship_2
3792ab6b-70c7-441a-bfdb-7c295b5d27e9,,,,DEVELOPER_ONLY,0.95,UNKNOWN,"Official Bedford filing identifies owners/developers but describes speculative professional or medical tenancy.","Applicant and development entity are known; no tenant/operator is named. Preserve unknown operator.",UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,
884af2ef-bcba-404f-b12b-afdd49396188,,,,PROPERTY_OWNER_ONLY,0.98,UNKNOWN,"Official Portsmouth minutes state the prior Planet Fitness reference is no longer valid.","The municipal record expressly invalidates the former tenant reference; no replacement operator is identified.",UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,
4313eb2d-d944-43c5-afa8-a42d48b264ab,Aranco Oil Company,Aranosian Oil Company Inc,Aranco Oil Company,KNOWN,0.95,HIGH,"Federal FMCSA registry confirms legal and DBA names; municipal filing is for the same company.","Legal entity and operating DBA are linked by an official federal registry and the project filing.",INDEPENDENT_LOCAL,,,,,,phone,(603) 224-7500,Official public business phone,https://safer.fmcsa.dot.gov/query.asp?query_param=USDOT&query_string=86218&query_type=queryCarrierSnapshot&searchtype=ANY,FMCSA SAFER carrier snapshot,official_federal_registry,0.95,"same operator legal name and DBA in official federal registry",BUSINESS_GENERAL,Corporate office route for the project operator,,,,,,,,,,
79a2be3a-4717-4246-b6c3-73f1255d8779,,,,PROPERTY_OWNER_ONLY,0.98,UNKNOWN,"Official Bedford filing calls the proposed use speculative.","No tenant can be resolved because the municipal application and current leasing page both market speculative space.",UNKNOWN,Cushman & Wakefield,commercial brokerage,broker,0.95,"Official brokerage listing is for 308 South River Road.",phone,(603) 628-2800,Leasing broker office,https://www.cushmanwakefield.com/en/united-states/properties/for-lease/industrial/nh/bedford/308-south-river-road/s123480445s123480445-l,Cushman & Wakefield property listing,official_property_listing,0.9,"same address on the brokerage's official listing",DEVELOPER,Leasing route for the speculative development,,,,,,,,,,
8614fa76-4f8f-4b5c-b6cb-e60f48abdce8,,,,DEVELOPER_ONLY,0.85,UNKNOWN,"Official Bedford evidence describes an owner-managed multi-tenant flex property with existing uses.","The expansion is multi-tenant and no incoming tenant is named; forcing one operator would be misleading.",INDEPENDENT_LOCAL,,,,,,,,,,,,,,,,,,,,,,,,,
d2cf1c13-18cd-4e45-9ad1-0ea47d766a6d,Bluebird Self Storage,Bluebird Salem LLC,Bluebird Self Storage,KNOWN,0.95,HIGH,"Official brand site confirms the NH self-storage operation; municipal filing confirms the Salem project.","Municipal project entity and official operator brand are consistently linked, but the stored company page is not a direct local contact.",INDEPENDENT_LOCAL,,,,,,website,https://www.bluebirdstorage.com,Official website with rental inquiry route,https://www.bluebirdstorage.com,Bluebird Self Storage official website,official_company,0.9,"same brand and same state on official company website",BUSINESS_GENERAL,Official operator inquiry route,,,,,,,,,,
15ba66b3-8448-496d-893a-bac776b28e40,,,,PROPERTY_OWNER_ONLY,0.9,UNKNOWN,"The car-wash project is verified but no operating brand is identified.","Address and use are known; public evidence does not establish the future car-wash operator.",UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,
fb6f9a47-7d4f-4560-95fe-102c84837768,Kennebunk Savings Bank,Kennebunk Savings Bank,Kennebunk Savings,KNOWN,0.75,MEDIUM,"Municipal material identifies financial-services space and a reputable project announcement names Kennebunk Savings as the planned tenant.","The address-first use and tenant announcement agree, but the bank's current official location directory does not yet show 134 Pleasant Street; treat as proposed, not confirmed.",INDEPENDENT_LOCAL,,,,,,contact_page,https://www.kennebunksavings.com/contact-us/,Official bank contact page,https://www.kennebunksavings.com/contact-us/,Kennebunk Savings official contact page,official_company,0.9,"same operator on official company contact page",CORPORATE,Corporate route for the proposed tenant,,,,,,,,,,
efc1a877-b0a3-4b31-b89e-3321ce736221,Revo Casino and Social House,Granite State Poker Alliance LLC,Revo Casino,KNOWN,0.98,CONFIRMED,"Official NH Lottery location list confirms the Revo brand at 1279 South Willow.","Official state directory matches the operating brand to the exact project address.",CHAIN_FRANCHISE,,,,,,phone,(603) 935-9947,Official public location phone,https://nhlottery.com/Sports/DraftKings-Sportsbook-Locations,New Hampshire Lottery location directory,official_public_directory,0.98,"same brand and same address in official state directory",LOCAL_DIRECT,Direct location phone,,,,,,,,,,
a845530a-b449-471e-b317-fe466022801e,Greywacke LLC,Greywacke LLC,Greywacke,KNOWN,0.9,HIGH,"Official filing identifies Greywacke as the landscape-contractor office operator.","The applicant and operating business are the same named entity in the municipal record.",INDEPENDENT_LOCAL,,,,,,,,,,,,,,,,,,,,,,,,,
