organization,brand,operating_brand,operator_status,city,address,industry,stage,opportunity_type,score,vendor_readiness_score,independent_signal_count,contactability_status,official_website,business_phone,business_email,contact_page,timing_value,stage_confidence,signal_count,first_detected_at,first_actionable_at,last_signal_at,estimated_open_window,review_status,review_note,source_count,vendor_needs
"Granite State Poker Alliance, LLC","Granite State Poker Alliance, LLC",Revo Casino,KNOWN,Manchester,1279 South Willow Street,entertainment,PLANNING,major_renovation,86.2,89.5,2,CONTACTABLE,https://revocasino.com,+16039359947,,,MEDIUM,0.7999999999999999,5,2026-08-19 15:02:16.704211,,2026-08-19 16:12:49.411197,,actionable,"New 73,240 sq ft charitable gaming facility with corroborating zoning/sign activity.",3,commercial_cleaning;commercial_insurance;internet
"Aranosian Oil Company, Inc","Aranosian Oil Company, Inc",Aranco Oil Company,KNOWN,Manchester,1265 South Willow Street,restaurant,PLANNING,major_renovation,69.0,88.9,2,CONTACTABLE,,+16032247500,,,MEDIUM,0.76,3,2026-08-19 15:02:16.723797,,2026-08-19 15:19:28.171836,,actionable,"New fueling station, convenience store, and drive-through restaurant supported by planning and zoning.",3,commercial_cleaning;commercial_insurance;internet
Brook Hollow Corporation,Brook Hollow Corporation,Brook Hollow Corporation,PROPERTY_OWNER_ONLY,Manchester,275 Hooksett Road,other,PLANNING,major_renovation,67.1,45.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:02:16.730260,,2026-08-19 15:02:16.730260,,actionable,Current extension for an approved new car-wash facility.,1,commercial_cleaning;commercial_insurance;internet
"25 Lowell Street, LLC","25 Lowell Street, LLC","25 Lowell Street, LLC",UNKNOWN,Manchester,25 Lowell Street,retail,PLANNING,major_renovation,70.7,31.4,1,NOT_CONTACTABLE,,,,,MEDIUM,0.76,2,2026-08-19 15:02:16.737828,,2026-08-19 15:19:28.141873,,not_actionable,Parking-lot amendment for an existing mixed-use property; no new operating business.,2,commercial_cleaning;commercial_insurance;internet
"Greywacke, LLC","Greywacke, LLC","Greywacke, LLC",KNOWN,Manchester,231 Woodland Avenue,professional office,PLANNING,major_renovation,69.0,66.4,1,NOT_CONTACTABLE,,,,,MEDIUM,0.76,2,2026-08-19 15:02:16.744329,,2026-08-19 15:19:28.149792,,actionable,Commercial change of use to landscape contractor office with two official source classes.,2,commercial_cleaning;commercial_insurance;internet
"DEV, LLC","DEV, LLC","DEV, LLC",UNKNOWN,Manchester,1308 Elm Street,retail,PLANNING,major_renovation,67.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:02:16.749646,,2026-08-19 15:02:16.749646,,uncertain,"Large mixed-use redevelopment is real, but no commercial tenant/operator is identified.",1,commercial_cleaning;commercial_insurance;internet
Griffin Road Realty LLC,Griffin Road Realty LLC,Griffin Road Realty LLC,PROPERTY_OWNER_ONLY,Portsmouth,218 Griffin Rd,warehouse/logistics,PLANNING,major_renovation,64.1,45.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.505301,2026-08-19 15:16:52.505301,2026-08-19 15:16:52.505301,,actionable,"New commercial loading dock, security fencing/gates, and site work.",1,commercial_cleaning;commercial_insurance;internet
Banfield Realty LLC,Banfield Realty LLC,Banfield Realty LLC,UNKNOWN,Portsmouth,375 Banfield Road,warehouse/logistics,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.512893,2026-08-19 15:16:52.512893,2026-08-19 15:16:52.512893,,uncertain,Rezoning from industrial to mixed use is too early and lacks an operating business.,1,commercial_cleaning;commercial_insurance;internet
Liberty Mutual Insurance Company,Liberty Mutual Insurance Company,Liberty Mutual Insurance Company,UNKNOWN,Portsmouth,0 Borthwick Avenue,professional office,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.521214,2026-08-19 15:16:52.521214,2026-08-19 15:16:52.521214,,not_actionable,Routine stormwater maintenance at an established corporate property.,1,commercial_cleaning;commercial_insurance;internet
Brora LLC,Brora LLC,Brora LLC,UNKNOWN,Portsmouth,150 Portsmouth Boulevard,professional office,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.528016,2026-08-19 15:16:52.528016,2026-08-19 15:16:52.528016,,false_positive,Large multifamily residential project; Office Research zoning caused classification noise.,1,commercial_cleaning;commercial_insurance;internet
The Ci ty of Portsmouth/New Franklin School,The Ci ty of Portsmouth/New Franklin School,The Ci ty of Portsmouth/New Franklin School,UNKNOWN,Portsmouth,1 Franklin Drive,other,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.536316,2026-08-19 15:16:52.536316,2026-08-19 15:16:52.536316,,not_actionable,Municipal elementary-school addition is outside the commercial prospect thesis.,1,commercial_cleaning;commercial_insurance;internet
The City of Portsmouth/New Franklin School,The City of Portsmouth/New Franklin School,The City of Portsmouth/New Franklin School,UNKNOWN,Portsmouth,1 Franklin Drive,other,PLANNING,major_renovation,64.1,30.8,1,NOT_CONTACTABLE,,,,,MEDIUM,0.72,1,2026-08-19 15:16:52.543276,2026-08-19 15:16:52.543276,2026-08-19 15:16:52.543276,,duplicate,Duplicate name variant for the same New Franklin School project.,1,commercial_cleaning;commercial_insurance;internet
